联系方式-全网,#genre#
QQ群号：831617073,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001

把家里路由器,http://maomao.kandiantv.cn/douyu1.php?id=4246519
换成支持ipv6,http://www.lizhinas.top:8688/rtp/239.252.220.179:5140
支持所有线路,http://live.dxms.top/dwy/jyjc.php
直播高清流畅,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
更换享受超清,http://183.66.15.138:4070/udp/235.254.198.97:1664
中国港澳-全网,#genre#
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰中文,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://ali.hlspull.yximgs.com/live/facf94ac3441dc4e5f8e48d1eeb18045.flv
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
Now爆谷,http://205.185.123.236:8899/1/baogutai/baogu.m3u8
翡翠台,http://m.osvs.asia:8000/bysid/1
ViuTV6,http://m.osvs.asia:8000/bysid/96
ViuTV,http://m.osvs.asia:8000/bysid/99
明珠台,http://beishan008.asuscomm.com:8890/bysid/2
TVB Plus,http://beishan008.asuscomm.com:8890/bysid/82
无线新闻,http://beishan008.asuscomm.com:8890/bysid/83
凤凰卫视香港台,http://beishan008.asuscomm.com:8890/bysid/85
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
龙华日韩,http://cdn5.163189.xyz/litv.php?id=litv-longturn11
龙华电影,http://cdn5.163189.xyz/litv.php?id=litv-longturn03
龙华卡通,http://cdn5.163189.xyz/litv.php?id=litv-longturn01
龙华偶像,http://cdn5.163189.xyz/litv.php?id=litv-longturn12
龙华戏剧,http://cdn5.163189.xyz/litv.php?id=litv-longturn18
龙华经典,http://cdn5.163189.xyz/litv.php?id=litv-longturn21
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
无线翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
凤凰电影,http://home.js001.com:7777/stream/channelid/884059847?profile=pass
Astro AEC,http://aktv.top/AKTV/live/aktv3/astroaec/AKTV.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193

无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
